Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,estimate,portion_to_leave,error_threshold
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,327,republican,0.25,0.0001
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,republican,0.25,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,53,republican,0.25,0.0001
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,140,democrat,0.25,0.0001
republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,300,republican,0.25,0.0001
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273,republican,0.25,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,171,republican,0.25,0.0001
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305,republican,0.25,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,113,republican,0.25,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,150,republican,0.25,0.0001
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37,republican,0.25,0.0001
republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,377,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11,republican,0.25,0.0001
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,303,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250,republican,0.25,0.0001
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304,republican,0.25,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111,republican,0.25,0.0001
republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,433,republican,0.25,0.0001
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,225,republican,0.25,0.0001
republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,347,republican,0.25,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,republican,0.25,0.0001
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,democrat,0.25,0.0001
republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,315,democrat,0.25,0.0001
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,154,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,374,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,1,republican,0.25,0.0001
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,276,republican,0.25,0.0001
republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,355,democrat,0.25,0.0001
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339,republican,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,republican,0.25,0.0001
democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,323,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,110,democrat,0.25,0.0001
democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,101,democrat,0.25,0.0001
democrat,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?,371,democrat,0.25,0.0001
democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,418,democrat,0.25,0.0001
democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,152,democrat,0.25,0.0001
democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,271,democrat,0.25,0.0001
democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,391,democrat,0.25,0.0001
democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,213,democrat,0.25,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,201,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,426,democrat,0.25,0.0001
democrat,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?,130,democrat,0.25,0.0001
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,74,democrat,0.25,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,46,democrat,0.25,0.0001
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,153,democrat,0.25,0.0001
democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y,336,democrat,0.25,0.0001
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,118,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,181,democrat,0.25,0.0001
democrat,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,183,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,255,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y,177,democrat,0.25,0.0001
democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,397,democrat,0.25,0.0001
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,12,democrat,0.25,0.0001
democrat,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y,395,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,269,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y,227,democrat,0.25,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,23,democrat,0.25,0.0001
democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,219,democrat,0.25,0.0001
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,288,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,70,democrat,0.25,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,27,democrat,0.25,0.0001
democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?,367,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,43,democrat,0.25,0.0001
democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?,381,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y,241,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,280,democrat,0.25,0.0001
democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y,408,democrat,0.25,0.0001
democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,232,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,265,democrat,0.25,0.0001
democrat,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?,129,democrat,0.25,0.0001
democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,237,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,116,democrat,0.25,0.0001
democrat,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y,20,democrat,0.25,0.0001
democrat,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y,115,democrat,0.25,0.0001
democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,294,democrat,0.25,0.0001
democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y,249,democrat,0.25,0.0001
democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,186,democrat,0.25,0.0001
democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,192,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,344,democrat,0.25,0.0001
democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,293,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,184,democrat,0.25,0.0001
democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,?,425,democrat,0.25,0.0001
democrat,y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y,287,democrat,0.25,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,327,republican,0.5,0.0001
republican,n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n,247,republican,0.5,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n,53,republican,0.5,0.0001
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y,140,republican,0.5,0.0001
republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y,300,republican,0.5,0.0001
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,273,republican,0.5,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,171,republican,0.5,0.0001
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,305,republican,0.5,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n,113,republican,0.5,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,150,republican,0.5,0.0001
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y,37,republican,0.5,0.0001
republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?,377,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,401,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11,republican,0.5,0.0001
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,303,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250,republican,0.5,0.0001
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304,republican,0.5,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111,republican,0.5,0.0001
republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,433,republican,0.5,0.0001
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,225,republican,0.5,0.0001
republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,347,republican,0.5,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,republican,0.5,0.0001
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,democrat,0.5,0.0001
republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,315,republican,0.5,0.0001
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,154,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,374,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,1,republican,0.5,0.0001
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,276,republican,0.5,0.0001
republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,355,democrat,0.5,0.0001
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339,republican,0.5,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,republican,0.5,0.0001
democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,323,democrat,0.5,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,110,democrat,0.5,0.0001
democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,101,democrat,0.5,0.0001
democrat,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?,371,democrat,0.5,0.0001
democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,418,democrat,0.5,0.0001
democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,152,democrat,0.5,0.0001
democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,271,democrat,0.5,0.0001
democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,391,democrat,0.5,0.0001
democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,213,democrat,0.5,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,201,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,426,democrat,0.5,0.0001
democrat,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?,130,democrat,0.5,0.0001
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,74,democrat,0.5,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,46,democrat,0.5,0.0001
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,153,democrat,0.5,0.0001
democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y,336,democrat,0.5,0.0001
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,118,democrat,0.5,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,181,democrat,0.5,0.0001
democrat,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,183,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,255,democrat,0.5,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y,177,democrat,0.5,0.0001
democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,397,democrat,0.5,0.0001
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,12,democrat,0.5,0.0001
democrat,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y,395,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,269,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y,227,democrat,0.5,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,23,democrat,0.5,0.0001
democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,219,democrat,0.5,0.0001
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,288,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,70,democrat,0.5,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,27,democrat,0.5,0.0001
democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?,367,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,43,democrat,0.5,0.0001
democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?,381,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y,241,democrat,0.5,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,280,democrat,0.5,0.0001
democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y,408,democrat,0.5,0.0001
democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,232,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,265,democrat,0.5,0.0001
democrat,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?,129,democrat,0.5,0.0001
democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,237,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,116,democrat,0.5,0.0001
democrat,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y,20,democrat,0.5,0.0001
democrat,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y,115,democrat,0.5,0.0001
democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,294,democrat,0.5,0.0001
democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y,249,democrat,0.5,0.0001
democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,186,democrat,0.5,0.0001
democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,192,democrat,0.5,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,344,democrat,0.5,0.0001
